J,mu,phi,<n>,<dN^2>
0.0033898305084745766,0.7796610169491526,1.0718729030732836e-10,9.000000000911784,9.000000000911784
0.0033898305084745766,0.7966101694915254,1.5070417403383675e-10,9.000000001078813,9.000000001078813
0.0033898305084745766,0.8135593220338984,2.198524407075811e-10,9.000000001293127,9.000000001293127
0.0033898305084745766,0.8305084745762712,3.35022328450791e-10,9.00000000157474,9.00000000157474
0.0033898305084745766,0.847457627118644,5.37986576588132e-10,9.000000001955527,9.000000001955527
0.0033898305084745766,0.864406779661017,9.213777526538365e-10,9.000000002488749,9.000000002488749
0.0033898305084745766,0.8813559322033898,1.7117522017098893e-09,9.00000000326903,9.00000000326903
0.0033898305084745766,0.8983050847457628,3.5378192723116802e-09,9.00000000447761,9.00000000447761
0.0033898305084745766,0.9152542372881356,8.462057451237974e-09,9.000000006500738,9.000000006500738
0.0033898305084745766,0.9322033898305084,2.506176391166509e-08,9.000000010289073,9.000000010289073
0.0033898305084745766,0.9491525423728814,1.0486777498247633e-07,9.000000018772845,9.000000018772845
0.0033898305084745766,0.9661016949152542,8.575326399178977e-07,9.000000045566642,9.000000045566642
0.0033898305084745766,0.9830508474576272,6.394447933268892e-05,9.000000342083293,9.000000342083293
0.0033898305084745766,1.0,6.621965770376527e-05,9.999999989140075,9.999999989140075
0.006779661016949153,0.0,7.118007500045594e-05,8.000000024428813,8.000000024428813
0.006779661016949153,0.01694915254237288,6.468734608537072e-05,8.999999330831738,8.999999330831738
0.006779661016949153,0.03389830508474576,1.0600719791879923e-06,8.999999909203092,8.999999909203092
0.006779661016949153,0.05084745762711865,1.490573696284015e-07,8.99999996264369,8.99999996264369
0.006779661016949153,0.06779661016949153,4.0592459732882335e-08,8.999999979593568,8.999999979593568
0.006779661016949153,0.0847457627118644,1.5559218862315894e-08,8.999999987169357,8.999999987169357
0.006779661016949153,0.1016949152542373,7.368484280650866e-09,8.999999991219145,8.999999991219145
0.006779661016949153,0.11864406779661017,4.032086925626052e-09,8.99999999364171,8.99999999364171
0.006779661016949153,0.13559322033898305,2.451487441096197e-09,8.999999995208523,8.999999995208523
0.006779661016949153,0.15254237288135594,1.6152742426949584e-09,8.999999996282057,8.999999996282057
0.006779661016949153,0.1694915254237288,1.1341032000758907e-09,8.999999997051365,8.999999997051365
0.006779661016949153,0.1864406779661017,8.384241032290038e-10,8.99999999762288,8.99999999762288
0.006779661016949153,0.2033898305084746,6.469660334179877e-10,8.999999998060343,8.999999998060343
0.006779661016949153,0.22033898305084745,5.176548682821774e-10,8.999999998403855,8.999999998403855
0.006779661016949153,0.23728813559322035,4.2730021778903143e-10,8.999999998679723,8.999999998679723
0.006779661016949153,0.2542372881355932,3.624326007070475e-10,8.999999998905635,8.999999998905635
0.006779661016949153,0.2711864406779661,3.1487180117716825e-10,8.999999999094149,8.999999999094149
0.006779661016949153,0.288135593220339,2.7948042141173515e-10,8.999999999254136,8.999999999254136
0.006779661016949153,0.3050847457627119,2.529053723629109e-10,8.999999999392049,8.999999999392049
0.006779661016949153,0.3220338983050847,2.3292366415076644e-10,8.999999999512886,8.999999999512886
0.006779661016949153,0.3389830508474576,2.1802211554355754e-10,8.999999999620396,8.999999999620396
0.006779661016949153,0.3559322033898305,2.0716242467009494e-10,8.99999999971745,8.99999999971745
